Brand,Category,Product_Name,Price_Raw,Target_Demographic,Availability_Status,Source_URL,Price_INR
H&M,Men's T-Shirts & Tops,H&M Regular Fit Crew-neck T-shirt,"₹ 1,970","Broad Mass Market, Students & Youth",In Stock,https://www2.hm.com/en_in/,1970.0
H&M,Basics & Everyday,H&M Relaxed Fit Graphic T-shirt,"₹ 2,470","Broad Mass Market, Students & Youth",In Stock,https://www2.hm.com/en_in/,2470.0
H&M,Youth Fashion,H&M Heavyweight Cotton Oversized Tee,₹ 770,"Broad Mass Market, Students & Youth",In Stock,https://www2.hm.com/en_in/,770.0
H&M,Casual Denim,H&M Fine-knit Cotton Polo Shirt,"₹ 1,820","Broad Mass Market, Students & Youth",In Stock,https://www2.hm.com/en_in/,1820.0
H&M,Knitwear,H&M Slim Fit Chino Trousers,₹ 670,"Broad Mass Market, Students & Youth",In Stock,https://www2.hm.com/en_in/,670.0
H&M,Men's T-Shirts & Tops,H&M Loose Jeans,₹ 930,"Broad Mass Market, Students & Youth",In Stock,https://www2.hm.com/en_in/,930.0
H&M,Basics & Everyday,H&M Cotton Hoodie,"₹ 2,020","Broad Mass Market, Students & Youth",In Stock,https://www2.hm.com/en_in/,2020.0
H&M,Youth Fashion,H&M Oversized Printed Sweatshirt,"₹ 1,930","Broad Mass Market, Students & Youth",In Stock,https://www2.hm.com/en_in/,1930.0
H&M,Casual Denim,H&M Linen-blend Resort Shirt,₹ 610,"Broad Mass Market, Students & Youth",In Stock,https://www2.hm.com/en_in/,610.0
H&M,Knitwear,H&M Ribbed Tank Top,"₹ 2,410","Broad Mass Market, Students & Youth",In Stock,https://www2.hm.com/en_in/,2410.0
UNIQLO,Men's T-Shirts,UNIQLO Dry-EX Crew Neck T-Shirt,"₹ 3,820","Broad Demographic, Students & Minimalist Adults",In Stock,https://www.uniqlo.com/in/,3820.0
UNIQLO,AIRism Functional Wear,UNIQLO AIRism Cotton Oversized Crew Neck Tee,"₹ 1,120","Broad Demographic, Students & Minimalist Adults",In Stock,https://www.uniqlo.com/in/,1120.0
UNIQLO,HEATTECH Innerwear,UNIQLO U Crew Neck Heavyweight Tee,"₹ 4,220","Broad Demographic, Students & Minimalist Adults",In Stock,https://www.uniqlo.com/in/,4220.0
UNIQLO,Casual Tops,UNIQLO HEATTECH Ultra Warm Top,"₹ 1,790","Broad Demographic, Students & Minimalist Adults",In Stock,https://www.uniqlo.com/in/,1790.0
UNIQLO,Minimalist Outerwear,UNIQLO Ultra Light Down Jacket,nan,"Broad Demographic, Students & Minimalist Adults",Out of Stock,https://www.uniqlo.com/in/,3820.0
UNIQLO,Men's T-Shirts,UNIQLO Flannel Long Sleeve Shirt,"₹ 1,020","Broad Demographic, Students & Minimalist Adults",In Stock,https://www.uniqlo.com/in/,1020.0
UNIQLO,AIRism Functional Wear,UNIQLO Chino Shorts,"₹ 4,850","Broad Demographic, Students & Minimalist Adults",In Stock,https://www.uniqlo.com/in/,4850.0
UNIQLO,HEATTECH Innerwear,UNIQLO AIRism Seamless Bra Top,"₹ 4,390","Broad Demographic, Students & Minimalist Adults",In Stock,https://www.uniqlo.com/in/,4390.0
UNIQLO,Casual Tops,UNIQLO Stretch Selvedge Jeans,"₹ 1,700","Broad Demographic, Students & Minimalist Adults",In Stock,https://www.uniqlo.com/in/,1700.0
UNIQLO,Minimalist Outerwear,UNIQLO Fleece Full-Zip Jacket,"₹ 4,030","Broad Demographic, Students & Minimalist Adults",In Stock,https://www.uniqlo.com/in/,4030.0
